DEEDED_ACREAGE,TOTAL_SALE_PRICE,HEATED_AREA
2,740000,4008
2,740000,4500
1.38,185000,8500
1.11,750000,3088
0.4,82000,3747
0.21,34500,1828
0.46,35500,1240
0.43,0,1037
0.46,37500,2261
0.79,175000,2440
0.76,5000,0
0.96,70000,3770
0.51,0,996
0.47,380000,1789
0.39,337500,2463
0.5,7500,0
0.5,32500,2389
0.7,19500,1280
0.49,319000,4650
2.05,0,2192
0.13,425000,1890
0.17,364000,1500
0.28,175000,1050
0.36,236000,3000
0.82,71000,3526
0.17,280000,1212
0.45,265000,1512
0.22,78000,840
0.33,325000,5426
1.03,215000,2187
0.29,98000,1489
0.33,0,1344
0.45,70000,1296
7.51,0,1976
0.53,118000,1560
0.13,202000,1671
0.28,220000,1304
1.28,205200,0
1,174800,0
0.19,425000,2316
0.41,42500,1014
0.71,1700000,2170
0.48,5000,2179
0.15,255000,1020
0.38,202000,1994
0.31,247000,2514
0.17,250000,0
0.6,83500,1457
0.3,160000,1671
0.39,70000,1050
0.36,81000,976
0.72,144000,1971
0.6,369000,2492
0.31,71000,975
0.25,119000,1600
0.92,0,1978
0.48,201500,1852
0.32,163000,1767
2.96,10000,6630
0.28,11000,2352
0.13,171000,1391
0.3,160000,2015
0.37,53500,1009
0.41,130000,2027
0.27,333000,2254
0.13,21000,720
0.34,0,6013
0.63,355000,3106
0.24,0,0
0.24,0,0
0.65,378000,0
3.01,0,29332
10.6,2625000,46640
10.6,2625000,160762
127.12,0,0
0.32,75000,1579
0.31,535000,3181
0.47,122000,2152
0.05,245000,2100
0.39,0,3568
0.31,725000,4255
0.23,201000,1400
0.35,365000,1885
0.29,120000,1518
0.39,145000,1896
0.07,49000,644
0.09,0,656
0.04,36500,1472
58.98,0,1376
58.98,0,1040
58.98,0,1196
0.47,90000,950
1.35,0,1803
1.25,0,1360
0.32,270000,1875
0.64,17500,1300
0.07,20000,1870
0.35,83500,3010
0.11,0,0
165.48,0,0
53.06,0,1040
53.06,0,6000
34.39,0,1242
232.27,0,0
0.41,97000,1188
0.4,345000,2148
0.31,48500,1982
0.4,220000,2368
0.49,46000,1998
0.51,325000,2835
0.43,270000,2295
3.44,1715000,48000
0.25,144000,1888
0.27,119000,1570
0.31,123000,2098
0.32,21500,1644
0.28,6000,1210
0.53,0,1559
0.51,252000,1656
0.4,42500,1945
0.4,41500,2362
0.3,398000,1894
0.31,280000,1949
0.29,130000,2408
0.55,259000,2648
0.32,121000,1282
9.84,0,0
0.32,260000,3210
0.33,117500,3330
0.35,420000,3080
0.34,150000,2712
0.44,0,2018
0.48,0,2256
0.48,32000,1196
0.39,87000,1253
0.28,140000,1700
0.53,180000,3259
0.33,127500,2844
0.34,125000,2424
0.37,145000,2653
0.39,139000,1218
0.31,84000,1196
0.33,82500,2484
0.32,130000,2451
0.33,98000,2451
0.39,53500,2214
0.57,212500,2340
0.39,490000,2770
0.35,312000,2166
0.3,210000,2166
0.36,157500,2806
0.4,283000,1647
0.61,230000,2032
0.43,68000,2102
0.45,260000,1680
0.43,199000,2999
6.18,3000000,102480
1,365000,5550
1,365000,3500
6.77,0,0
4,0,1245
15.91,0,1836
11.81,0,2571
0.65,180000,2466
0.1,0,0
0.16,0,0
0.41,382000,2551
0.14,440000,2490
0.16,168000,1000
0.43,70000,2200
0.14,78500,0
0.17,76000,1632
0.16,108000,1352
0.23,50000,0
0.11,58000,0
0.12,355000,1971
0.47,0,1372
0.11,61000,0
0.17,218000,1296
0.92,170000,4136
0.1,0,1312
0.11,4000,1124
0.17,0,720
0.46,215000,2103
0.1,38000,960
0.1,66000,960
20,0,0
0.87,0,2504
16.03,0,36978
3.96,0,0
28.79,0,17996
28.79,0,1419
28.79,0,28248
28.79,0,6000
5.84,0,0
0.17,0,0
0.18,0,1536
0.15,55000,676
61.21,0,3496
61.21,0,768
0.11,28800,912
0.15,165000,1146
1,0,1452
0.45,0,1216
2.24,158000,1787
1.03,0,0
1.51,174000,1863
49.02,0,1856
3,100000,1352
0.24,27500,1176
74.44,0,0
0.45,125000,1161
0.45,0,0
