TOTAL_SALE_PRICE,HEATED_AREA
740000,4008
740000,4500
185000,8500
750000,3088
82000,3747
34500,1828
35500,1240
0,1037
37500,2261
175000,2440
5000,0
70000,3770
0,996
380000,1789
337500,2463
7500,0
32500,2389
19500,1280
319000,4650
0,2192
425000,1890
364000,1500
175000,1050
236000,3000
71000,3526
280000,1212
265000,1512
78000,840
325000,5426
215000,2187
98000,1489
0,1344
70000,1296
0,1976
118000,1560
202000,1671
220000,1304
205200,0
174800,0
425000,2316
42500,1014
1700000,2170
5000,2179
255000,1020
202000,1994
247000,2514
250000,0
83500,1457
160000,1671
70000,1050
81000,976
144000,1971
369000,2492
71000,975
119000,1600
0,1978
201500,1852
163000,1767
10000,6630
11000,2352
171000,1391
160000,2015
53500,1009
130000,2027
333000,2254
21000,720
0,6013
355000,3106
0,0
0,0
378000,0
0,29332
2625000,46640
2625000,160762
0,0
75000,1579
535000,3181
122000,2152
245000,2100
0,3568
725000,4255
201000,1400
365000,1885
120000,1518
145000,1896
49000,644
0,656
36500,1472
0,1376
0,1040
0,1196
90000,950
0,1803
0,1360
270000,1875
17500,1300
20000,1870
83500,3010
0,0
0,0
0,1040
0,6000
0,1242
0,0
97000,1188
345000,2148
48500,1982
220000,2368
46000,1998
325000,2835
270000,2295
1715000,48000
144000,1888
119000,1570
123000,2098
21500,1644
6000,1210
0,1559
252000,1656
42500,1945
41500,2362
398000,1894
280000,1949
130000,2408
259000,2648
121000,1282
0,0
260000,3210
117500,3330
420000,3080
150000,2712
0,2018
0,2256
32000,1196
87000,1253
140000,1700
180000,3259
127500,2844
125000,2424
145000,2653
139000,1218
84000,1196
82500,2484
130000,2451
98000,2451
53500,2214
212500,2340
490000,2770
312000,2166
210000,2166
157500,2806
283000,1647
230000,2032
68000,2102
260000,1680
199000,2999
3000000,102480
365000,5550
365000,3500
0,0
0,1245
0,1836
0,2571
180000,2466
0,0
0,0
382000,2551
440000,2490
168000,1000
70000,2200
78500,0
76000,1632
108000,1352
50000,0
58000,0
355000,1971
0,1372
61000,0
218000,1296
170000,4136
0,1312
4000,1124
0,720
215000,2103
38000,960
66000,960
0,0
0,2504
0,36978
0,0
0,17996
0,1419
0,28248
0,6000
0,0
0,0
0,1536
55000,676
0,3496
0,768
28800,912
165000,1146
0,1452
0,1216
158000,1787
0,0
174000,1863
0,1856
100000,1352
27500,1176
0,0
125000,1161
0,0
117000,1050
110000,1566
122000,1014
120000,1226
150000,1721
0,2030
265000,1257
166000,1273
0,0
1000,0
4000,0
0,2600
116000,0
0,1080
0,0
6000,900
0,1918
0,1051
0,0
0,0
0,0
0,0
10000,1453
0,0
0,139445
0,111556
0,11690
0,5356
0,1288
0,1820
190000,2134
0,2655
0,0
25000,554
19500,686
20900,608
26500,736
209000,920
0,0
21500,716
325000,3403
0,2943
58000,0
0,1095
0,1875
0,0
4000,1136
0,728
535000,5592
252000,1983
159000,1607
0,1144
0,0
385000,2520
85000,1168
36000,954
0,1206
107000,774
0,1739
68000,0
0,924
650000,2295
650000,726
103000,1555
0,1561
0,1836
0,1956
106000,1416
617800,4076
87500,1350
0,4561
0,2560
0,3112
0,1248
0,8136
0,960
0,1200
0,2217
0,1360
0,24407
76500,1572
76500,1560
76500,1568
76500,1033
76500,5674
76500,1527
76500,3544
76500,3872
0,1630
0,1575
146000,1146
0,1164
0,1800
0,0
0,0
0,1748
0,1244
0,896
0,0
0,0
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,11871
0,2496
169000,1893
131000,2148
135000,1514
145000,1807
103000,2136
33000,1294
139000,1416
18900000,19636
18900000,19421
18900000,17693
18900000,20374
18900000,19515
18900000,19515
18900000,20098
18900000,20098
18900000,20098
18900000,20098
18900000,20098
18900000,20098
18900000,10294
18900000,20098
18900000,1608
1480000,34290
1480000,10800
1480000,1897
1480000,25050
152500,1349
180000,1378
100000,1050
0,0
0,0
32000,640
0,0
0,0
150000,3518
0,0
0,1320
0,2018
0,1366
21500,2919
110000,1050
70000,1676
488000,2656
292500,2898
107500,4979
591000,3851
0,0
0,0
0,0
0,0
0,2943
0,2207
3007000,45472
3007000,10866
280000,2055
0,1066
40000,1014
66000,1507
112000,768
18000,0
200000,1782
141000,1266
3099000,1679
0,1248
0,1232
260000,2997
52000,1572
0,1244
1000,0
40000,2299
0,1890
0,0
0,1568
0,2800
0,0
0,0
3000,0
0,0
0,0
0,1072
300500,4321
53500,0
178000,1280
151500,2185
46500,1080
135000,1884
30000,7100
117500,1281
100000,1637
0,744
338000,2820
172500,3456
0,0
0,0
0,1198
0,1304
0,1176
330000,2668
355000,1740
0,0
187000,2936
17500,1145
72000,1280
75000,908
162000,1062
0,0
0,0
212500,962
212500,840
212500,988
212500,2256
0,1064
83000,680
44000,1161
110000,1216
193500,1593
0,1944
64500,1066
199000,2865
15500,976
106000,1232
84000,1075
27000,1035
0,0
0,0
0,1206
157000,1558
80000,1504
65500,2864
100000,1263
1000,1904
0,1196
82000,1092
111000,1119
5000,1418
169000,2173
0,2256
70000,1446
0,1360
0,0
0,0
0,0
41000,1157
0,1366
0,2643
0,0
95000,768
95000,1053
95000,765
95000,1280
17500,2200
127000,1824
0,1460
0,1878
3000,0
0,1248
0,0
812500,4074
105000,1025
0,0
0,1232
0,0
0,1080
36500,3456
600,0
0,0
0,640
92500,1806
640000,3760
0,0
220000,1012
400000,2791
65000,0
230000,1359
500,1862
138500,2568
0,1170
0,1427
0,0
4500,1980
0,0
200000,0
4000,4329
0,1792
0,1440
140000,2460
30000,0
86000,1316
1700000,4050
1700000,4050
1700000,4560
1700000,2552
0,1769
0,1120
67000,1536
280000,819
0,0
0,3717
0,0
120000,1014
60000,1404
132500,1675
76500,1498
0,2124
0,1825
96000,1249
0,978
105000,4096
0,8960
0,2242
148000,750
148000,1050
0,1746
0,0
0,1008
29000,0
0,1080
0,1576
0,0
0,1008
0,0
0,0
0,1500
50000,840
0,0
0,0
80000,1000
0,0
0,3036
95000,1648
0,1568
285000,1495
299000,0
0,1226
64000,0
232000,2274
231000,2432
210000,2000
0,1264
0,0
91000,1283
95000,1673
78000,2223
143000,1752
98500,0
146500,1104
91000,1871
0,0
0,0
0,1721
0,2056
0,0
59000,1317
52000,0
165000,1104
0,2840
116500,1050
240000,2424
485000,4997
220000,2752
175000,1856
160000,2064
174500,2913
565000,2176
4500,1092
163000,1230
310000,1930
1351000,10000
15000,1318
1000,0
55000,744
314000,1685
35000,2211
149000,2436
0,1537
98000,1170
133000,1335
250000,2957
325000,1972
0,88616
0,28091
0,0
0,0
0,0
0,0
0,0
235000,1600
167000,1600
182000,1456
83500,1575
154000,1687
160000,1725
243000,2250
356000,2506
0,1687
70000,1687
29000,1575
184500,1575
199000,1687
115000,1212
123000,1456
29000,1575
170000,1716
61500,2200
32000,2012
205000,1712
202000,1600
157000,1575
107000,1926
59500,1668
32000,1875
185000,1640
43000,1550
30000,1575
22500,1875
56000,1575
136500,1875
28500,1650
126000,1725
127500,1183
120000,1625
53500,1215
24500,1595
170500,1396
29000,1839
88000,1830
120000,1687
36000,1725
73000,1912
28500,1125
37500,1150
184500,1889
170500,1575
220000,1600
235000,1420
21000,1250
145000,1600
200000,1606
155000,1600
33000,2139
77500,1737
129000,1620
74500,1612
29500,1506
140000,1575
116500,1612
201000,1650
132000,1866
129500,1225
125000,1411
64000,1725
97500,1200
230000,1572
0,1600
119000,1620
122000,1777
167500,1712
160000,1620
180000,1650
24000,1225
230000,1395
15000,1250
188000,2189
185500,2200
31500,2200
179000,1650
35500,2200
97000,1650
193500,1650
36000,1650
82000,1100
0,1100
205000,1650
90000,1100
150000,2328
180000,1650
26000,1100
192000,2145
0,0
171000,1300
0,0
25000,1462
150000,1188
110000,1200
91000,1188
103000,1100
109000,1188
80000,1320
94500,2400
135000,1020
110500,1020
113000,1224
68000,1320
169000,1320
19500,1188
90500,2400
0,2076
22000,1200
104000,1230
100000,1184
68000,1200
133500,1221
140000,1230
97000,1320
165000,1500
25500,1000
95000,1530
120000,1080
134000,1480
33500,2400
130000,2000
174000,1900
95000,1425
88000,1093
152000,1221
88000,1161
29000,1000
101000,920
23500,1118
165000,1152
88000,1254
100000,1050
112000,1080
109000,1080
36000,1020
130000,2022
50000,3579
0,1875
0,0
52000,648
31500,2569
140000,1080
190000,1563
257000,1776
525000,2286
0,2606
120000,1826
180000,1804
225000,2228
10000,0
20000,0
0,0
0,1490
300000,3294
307500,1334
0,0
215000,2328
0,0
301500,2769
0,0
232500,2824
0,0
5000,0
415000,1536
0,4711
97000,1841
82000,1688
0,1630
1000,864
0,816
0,0
0,0
240000,3688
0,0
7000,0
1500,1080
94000,1039
94000,1789
0,0
0,1523
2250000,1600
2250000,2100
140000,8240
140000,2000
0,46584
0,5376
370000,1228
195000,2010
130000,2353
230500,1486
245000,4074
146500,1706
330000,2926
35000,1858
105000,1296
105000,1176
0,1936
0,1260
0,1260
0,0
0,0
0,0
0,0
243000,3313
35000,2000
13500,1160
56500,1374
25000,1232
58000,1198
53000,0
0,2556
0,1008
0,1176
174000,1200
0,1305
0,1524
0,1184
0,1200
0,0
0,1352
0,1352
0,1352
35000,1500
45000,6000
75000,1746
55000,1168
0,1064
58000,1176
58000,1252
0,0
350000,4000
145000,2272
52000,1762
0,0
0,1104
70000,1426
0,0
0,0
250000,2366
373000,2727
0,3525
149500,3421
325000,2278
0,0
0,616
0,1246
410000,3319
0,0
0,0
0,0
203500,2127
475000,4726
105000,1769
1500,0
0,0
14000,0
156500,1416
208000,1753
119000,2500
405000,3795
0,1705
0,1412
325000,2355
389000,2868
12500,1148
265000,1121
37500,1364
94000,1080
20000,0
18000,1479
18000,4889
18000,2471
287000,3600
32000,1408
0,0
340000,1591
48000,2114
88000,1520
24500,2519
94000,1570
0,1753
0,3656
0,0
15000,0
0,1339
47500,1500
148500,1075
37000,2025
100000,1439
170000,1483
57000,4505
129000,1662
1500,2591
146500,2428
30500,1128
346500,2717
195000,2113
928000,5281
0,2321
119500,1476
150000,2408
0,2231
80000,900
260000,962
23000,1500
262000,1704
515000,2820
92000,1606
460000,3240
128000,1697
0,1740
200000,2035
0,2139
117000,1830
0,0
0,1798
0,1160
200000,1690
0,0
0,0
0,5611
0,14490
0,4037
0,0
105000,1000
0,1589
0,1960
262000,2561
27500,1248
0,1421
0,5102
0,0
150000,2006
0,1861
0,0
925000,7860
0,3312
0,0
369500,2468
164500,1371
0,12112
0,2570
0,0
0,339228
0,0
105000,1507
0,20812
260000,1862
430000,4740
0,7200
0,3730
48000,1726
42500,1655
775000,17160
0,1980
129000,1462
300000,1113
805000,3562
457500,3743
3000000,35236
3000000,4410
0,3706
168000,1308
105000,1558
230000,3692
0,2752
345000,1321
0,1064
0,0
0,0
0,884
0,1176
15500000,24006
15500000,27850
15500000,1092
0,1443
0,1350
0,1404
1000,0
0,0
190000,1275
30000,1022
140000,2400
104000,1522
92500,1972
1105000,3677
55000,0
33500,1465
165000,1479
113500,2556
226500,4071
198500,1215
152000,1894
415000,2636
0,0
0,1500
88500,1390
257500,2426
99000,23750
