PHYSICAL_CITY,DEEDED_ACREAGE,TOTAL_SALE_PRICE,HEATED_AREA
RALEIGH,2,740000,4008
RALEIGH,2,740000,4500
RALEIGH,1.38,185000,8500
RALEIGH,1.11,750000,3088
RALEIGH,0.4,82000,3747
RALEIGH,0.21,34500,1828
RALEIGH,0.46,35500,1240
RALEIGH,0.43,0,1037
WENDELL,0.46,37500,2261
RALEIGH,0.79,175000,2440
RALEIGH,0.76,5000,0
RALEIGH,0.96,70000,3770
RALEIGH,0.51,0,996
RALEIGH,0.47,380000,1789
RALEIGH,0.39,337500,2463
RALEIGH,0.5,7500,0
RALEIGH,0.5,32500,2389
RALEIGH,0.7,19500,1280
RALEIGH,0.49,319000,4650
APEX,2.05,0,2192
RALEIGH,0.13,425000,1890
RALEIGH,0.17,364000,1500
RALEIGH,0.28,175000,1050
RALEIGH,0.36,236000,3000
RALEIGH,0.82,71000,3526
RALEIGH,0.17,280000,1212
RALEIGH,0.45,265000,1512
CARY,0.22,78000,840
CARY,0.33,325000,5426
CARY,1.03,215000,2187
CARY,0.29,98000,1489
FUQUAY VARINA,0.33,0,1344
RALEIGH,0.45,70000,1296
WAKE FOREST,7.51,0,1976
KNIGHTDALE,0.53,118000,1560
FUQUAY VARINA,0.13,202000,1671
RALEIGH,0.28,220000,1304
RALEIGH,1.28,205200,0
RALEIGH,1,174800,0
RALEIGH,0.19,425000,2316
RALEIGH,0.41,42500,1014
RALEIGH,0.71,1700000,2170
RALEIGH,0.48,5000,2179
RALEIGH,0.15,255000,1020
RALEIGH,0.38,202000,1994
RALEIGH,0.31,247000,2514
RALEIGH,0.17,250000,0
RALEIGH,0.6,83500,1457
CARY,0.3,160000,1671
GARNER,0.39,70000,1050
RALEIGH,0.36,81000,976
GARNER,0.72,144000,1971
CARY,0.6,369000,2492
RALEIGH,0.31,71000,975
RALEIGH,0.25,119000,1600
RALEIGH,0.92,0,1978
RALEIGH,0.48,201500,1852
CARY,0.32,163000,1767
GARNER,2.96,10000,6630
RALEIGH,0.28,11000,2352
RALEIGH,0.13,171000,1391
CARY,0.3,160000,2015
RALEIGH,0.37,53500,1009
RALEIGH,0.41,130000,2027
RALEIGH,0.27,333000,2254
RALEIGH,0.13,21000,720
RALEIGH,0.34,0,6013
RALEIGH,0.63,355000,3106
GARNER,0.24,0,0
GARNER,0.24,0,0
CARY,0.65,378000,0
RALEIGH,3.01,0,29332
RALEIGH,10.6,2625000,46640
RALEIGH,10.6,2625000,160762
RALEIGH,127.12,0,0
GARNER,0.32,75000,1579
RALEIGH,0.31,535000,3181
RALEIGH,0.47,122000,2152
RALEIGH,0.05,245000,2100
RALEIGH,0.39,0,3568
RALEIGH,0.31,725000,4255
RALEIGH,0.23,201000,1400
RALEIGH,0.35,365000,1885
APEX,0.29,120000,1518
RALEIGH,0.39,145000,1896
RALEIGH,0.07,49000,644
RALEIGH,0.09,0,656
RALEIGH,0.04,36500,1472
WILLOW SPRING,58.98,0,1376
WILLOW SPRING,58.98,0,1040
WILLOW SPRING,58.98,0,1196
WAKE FOREST,0.47,90000,950
RALEIGH,1.35,0,1803
HOLLY SPRINGS,1.25,0,1360
RALEIGH,0.32,270000,1875
RALEIGH,0.64,17500,1300
FUQUAY VARINA,0.07,20000,1870
FUQUAY VARINA,0.35,83500,3010
HOLLY SPRINGS,0.11,0,0
WILLOW SPRING,165.48,0,0
WILLOW SPRING,53.06,0,1040
WILLOW SPRING,53.06,0,6000
FUQUAY VARINA,34.39,0,1242
HOLLY SPRINGS,232.27,0,0
